bureau_score,credit_utilization,debt_to_income,years_employed,credit_history_yrs,num_credit_inquiries_6m,max_dpd,months_delinquent
620,0.455,0.3762,16.7,13.4,2,0,0
687,0.2421,0.5868,8.8,8.6,1,0,0
577,0.2597,0.4518,5.5,2.9,0,0,0
583,0.311,0.5574,14.9,11.3,0,0,0
574,0.2569,1.517,5.7,5.1,1,0,0
653,0.2741,1.1729,9.8,5.5,1,0,0
537,0.6098,0.6638,20.5,13.1,3,0,0
607,0.2646,0.4815,5.3,5.2,0,0,0
562,0.5754,1.3912,7.2,5.0,0,0,0
569,0.3809,0.3758,4.1,1.1,2,0,0
622,0.2787,0.4253,2.2,0.0,0,0,0
644,0.0893,0.5733,10.5,4.8,2,0,0
651,0.1595,0.5887,13.9,9.0,2,0,0
630,0.2125,0.3386,14.4,8.0,0,0,0
599,0.4196,0.7318,11.9,8.5,1,0,0
591,0.202,0.9411,0.0,4.6,1,0,0
648,0.4522,0.7732,9.8,7.8,0,0,0
591,0.5053,0.6301,0.0,2.1,0,0,0
660,0.1443,1.0909,11.2,8.6,0,0,0
593,0.3001,0.1788,19.8,10.6,1,0,0
538,0.1835,1.4087,5.9,4.4,2,0,0
606,0.0826,0.2197,14.3,8.6,1,0,0
612,0.3016,0.2676,0.5,0.0,0,0,0
611,0.1695,0.3238,2.1,1.0,0,0,0
655,0.4648,0.3786,13.4,10.6,0,0,0
526,0.5226,0.8096,3.1,1.6,1,0,0
617,0.1955,0.638,5.4,5.5,1,0,0
627,0.3327,0.3995,15.6,11.3,1,0,0
542,0.1917,1.2336,7.5,5.9,2,0,0
641,0.1208,0.1331,9.0,6.2,2,0,0
679,0.1334,0.318,16.9,14.4,0,0,0
540,0.2757,0.7209,13.3,7.9,1,0,0
567,0.166,0.5214,5.8,2.8,3,0,0
657,0.2327,0.7393,8.4,5.2,0,0,0
618,0.1476,0.3554,14.6,11.2,2,0,0
543,0.1718,0.3768,1.2,2.1,3,0,0
606,0.3296,0.4119,19.7,12.7,0,0,0
577,0.2605,0.5024,0.0,1.8,2,0,0
540,0.6487,0.2309,3.9,0.8,2,0,0
582,0.4667,0.5385,6.4,5.9,2,0,0
525,0.5402,0.5781,15.8,11.8,2,0,0
590,0.3187,0.4789,5.3,3.7,0,0,0
595,0.4016,0.5284,0.0,0.9,1,0,0
624,0.1528,0.2395,9.5,6.4,0,0,0
625,0.1718,0.4499,5.5,4.4,0,0,0
